dataset,item,condition,xai,contam50,eta2,n_cell_lines
ctrpv2,staurosporine,marginal,lime,0.16,0.1190824221646419,160
ctrpv2,staurosporine,residualized,shap,0.06,0.1278146926029206,160
ctrpv2,staurosporine,residualized,grad_x_input,0.06,0.128189972287504,160
ctrpv2,staurosporine,residualized,lrp_eps,0.08,0.1162591075578661,160
ctrpv2,staurosporine,residualized,lrp_ab,0.34,0.1122003169702352,160
ctrpv2,staurosporine,residualized,int_grad,0.06,0.1276772610093424,160
ctrpv2,staurosporine,residualized,lime,0.1,0.1071902090846545,160
ctrpv2,BRD-K11533227,marginal,shap,0.3,0.1472187249009405,332
ctrpv2,BRD-K11533227,marginal,grad_x_input,0.34,0.1440198122861914,332
ctrpv2,BRD-K11533227,marginal,lrp_eps,0.38,0.1448916284592537,332
